127.0.0.1 - - [13/Aug/2017:22:58:55 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [13/Aug/2017:22:58:56 +0530] "GET /LetzChat/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:22:58:57 +0530] "GET /LetzChat/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:22:58:57 +0530] "GET /LetzChat/lib/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:22:58:57 +0530] "GET /LetzChat/lib/JQuery/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:22:58:57 +0530] "GET /LetzChat/lib/BootStrap/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:22:58:57 +0530] "GET /LetzChat/lib/BootStrap/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:22:58:57 +0530] "GET /LetzChat/lib/angular-route.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:22:58:57 +0530] "GET /LetzChat/lib/angular-cookies.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:22:58:57 +0530] "GET /LetzChat/lib/angular-messages.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:22:58:57 +0530] "GET /LetzChat/lib/angular-resource.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:22:58:57 +0530] "GET /LetzChat/lib/underscore.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:22:58:57 +0530] "GET /LetzChat/lib/lodash.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:22:58:58 +0530] "GET /LetzChat/lib/sockjs.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:22:58:58 +0530] "GET /LetzChat/lib/stomp.js HTTP/1.1" 304 -
